sppid,species,scinam,dataname,Rank,Occurrences,nSites,UseAvailability.North,Analysis.North,UseAvailability.South,Analysis.South,Maps,Origin
Potentilla,Potentilla,Potentilla,Potentilla,Genus,35,14,TRUE,FALSE,TRUE,FALSE,FALSE,NA
PotentillaAnserina,Potentilla anserina,Potentilla anserina,Potentilla.anserina,Species,130,62,TRUE,FALSE,TRUE,TRUE,TRUE,Native
PotentillaArgentea,Potentilla argentea,Potentilla argentea,Potentilla.argentea,Species,62,30,TRUE,FALSE,TRUE,TRUE,TRUE,Exotic
PotentillaBimundorum,Potentilla bimundorum,Potentilla bimundorum,Potentilla.bimundorum,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PotentillaBipinnatifida,Potentilla bipinnatifida,Potentilla bipinnatifida,Potentilla.bipinnatifida,Species,159,68,FALSE,FALSE,TRUE,TRUE,TRUE,Native
PotentillaConcinna,Potentilla concinna,Potentilla concinna,Potentilla.concinna,Species,57,28,FALSE,FALSE,TRUE,TRUE,TRUE,Native
PotentillaGracilis,Potentilla gracilis,Potentilla gracilis,Potentilla.gracilis,Species,211,89,TRUE,FALSE,TRUE,TRUE,TRUE,Native
PotentillaHippiana,Potentilla hippiana,Potentilla hippiana,Potentilla.hippiana,Species,191,76,FALSE,FALSE,TRUE,TRUE,TRUE,Native
PotentillaNivea,Potentilla nivea,Potentilla nivea,Potentilla.nivea,Species,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PotentillaNorvegica,Potentilla norvegica,Potentilla norvegica,Potentilla.norvegica,Species,514,239,TRUE,TRUE,TRUE,TRUE,TRUE,Native
PotentillaPensylvanica,Potentilla pensylvanica,Potentilla pensylvanica,Potentilla.pensylvanica,Species,323,116,TRUE,FALSE,TRUE,TRUE,TRUE,Native
PotentillaRivalis,Potentilla rivalis,Potentilla rivalis,Potentilla.rivalis,Species,14,7,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PotentillaSupina,Potentilla supina,Potentilla supina,Potentilla.supina,Species,6,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PrimulaConjugens,Primula conjugens,Primula conjugens,Primula.conjugens,Species,13,7,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PrimulaIncana,Primula incana,Primula incana,Primula.incana,Species,8,7,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PrimulaPauciflora,Primula pauciflora,Primula pauciflora,Primula.pauciflora,Species,11,5,TRUE,FALSE,TRUE,FALSE,FALSE,Native
ProsartesTrachycarpa,Prosartes trachycarpa,Prosartes trachycarpa,Prosartes.trachycarpa,Species,356,144,TRUE,TRUE,TRUE,TRUE,TRUE,Native
Prunus,Prunus,Prunus,Prunus,Genus,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,NA
PrunusAmericana,Prunus americana,Prunus americana,Prunus.americana,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
PrunusPensylvanica,Prunus pensylvanica/virginiana,Prunus pensylvanica/virginiana,Prunus.pensylvanica.virginiana,Species,440,191,TRUE,TRUE,TRUE,TRUE,TRUE,Native
PsathyrostachysJuncea,Psathyrostachys juncea,Psathyrostachys juncea,Psathyrostachys.juncea,Species,24,10,FALSE,FALSE,TRUE,FALSE,FALSE,Exotic
PseudoroegneriaSpicata,Pseudoroegneria spicata,Pseudoroegneria spicata,Pseudoroegneria.spicata,Species,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PsoralidiumLanceolatum,Psoralidium lanceolatum,Psoralidium lanceolatum,Psoralidium.lanceolatum,Species,51,18,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PteridiumAquilinum,Pteridium aquilinum,Pteridium aquilinum,Pteridium.aquilinum,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PuccinelliaDistans,Puccinellia distans,Puccinellia distans,Puccinellia.distans,Species,47,21,TRUE,FALSE,TRUE,FALSE,FALSE,Exotic
PuccinelliaNuttalliana,Puccinellia nuttalliana,Puccinellia nuttalliana,Puccinellia.nuttalliana,Species,90,36,TRUE,FALSE,TRUE,TRUE,TRUE,Native
Pyrola,Pyrola,Pyrola,Pyrola,Genus,15,8,TRUE,FALSE,FALSE,FALSE,FALSE,NA
